KalJahr,Geschlecht,Alter,COUNT
2019,F,0,134
2019,F,1,5
2019,F,2,6
2019,F,3,1
2019,F,4,3
2019,F,5,2
2019,F,6,5
2019,F,7,3
2019,F,8,5
2019,F,10,2
2019,F,11,1
2019,F,12,5
2019,F,13,3
2019,F,14,2
2019,F,15,3
2019,F,16,5
2019,F,17,4
2019,F,18,5
2019,F,19,4
2019,F,20,4
2019,F,21,9
2019,F,22,10
2019,F,23,11
2019,F,24,13
2019,F,25,11
2019,F,26,6
2019,F,27,8
2019,F,28,10
2019,F,29,12
2019,F,30,10
2019,F,31,13
2019,F,32,16
2019,F,33,14
2019,F,34,16
2019,F,35,23
2019,F,36,18
2019,F,37,15
2019,F,38,21
2019,F,39,19
2019,F,40,27
2019,F,41,32
2019,F,42,32
2019,F,43,42
2019,F,44,40
2019,F,45,45
2019,F,46,52
2019,F,47,50
2019,F,48,78
2019,F,49,72
2019,F,50,71
2019,F,51,94
2019,F,52,99
2019,F,53,110
2019,F,54,125
2019,F,55,142
2019,F,56,134
2019,F,57,151
2019,F,58,172
2019,F,59,159
2019,F,60,180
2019,F,61,206
2019,F,62,212
2019,F,63,223
2019,F,64,258
2019,F,65,267
2019,F,66,307
2019,F,67,261
2019,F,68,294
2019,F,69,374
2019,F,70,401
2019,F,71,462
2019,F,72,530
2019,F,73,507
2019,F,74,557
2019,F,75,596
2019,F,76,651
2019,F,77,679
2019,F,78,684
2019,F,79,718
2019,F,80,820
2019,F,81,888
2019,F,82,1022
2019,F,83,1143
2019,F,84,1217
2019,F,85,1284
2019,F,86,1446
2019,F,87,1502
2019,F,88,1642
2019,F,89,1697
2019,F,90,1670
2019,F,91,1548
2019,F,92,1578
2019,F,93,1454
2019,F,94,1307
2019,F,95,1093
2019,F,96,862
2019,F,97,740
2019,F,98,508
2019,F,99,393
2019,F,100,241
2019,F,101,159
2019,F,102,78
2019,F,103,72
2019,F,104,53
2019,F,105,15
2019,F,106,19
2019,F,107,8
2019,F,108,3
2019,F,109,5
2019,M,0,151
2019,M,1,9
2019,M,2,3
2019,M,3,5
2019,M,4,8
2019,M,5,5
2019,M,6,2
2019,M,7,7
2019,M,8,2
2019,M,9,3
2019,M,10,3
2019,M,11,1
2019,M,12,3
2019,M,13,2
2019,M,14,4
2019,M,15,14
2019,M,16,6
2019,M,17,8
2019,M,18,12
2019,M,19,22
2019,M,20,19
2019,M,21,24
2019,M,22,20
2019,M,23,25
2019,M,24,23
2019,M,25,26
2019,M,26,21
2019,M,27,27
2019,M,28,20
2019,M,29,25
2019,M,30,20
2019,M,31,27
2019,M,32,32
2019,M,33,29
2019,M,34,33
2019,M,35,35
2019,M,36,24
2019,M,37,36
2019,M,38,39
2019,M,39,45
2019,M,40,52
2019,M,41,51
2019,M,42,56
2019,M,43,57
2019,M,44,55
2019,M,45,66
2019,M,46,76
2019,M,47,83
2019,M,48,92
2019,M,49,124
2019,M,50,149
2019,M,51,130
2019,M,52,158
2019,M,53,185
2019,M,54,212
2019,M,55,236
2019,M,56,254
2019,M,57,263
2019,M,58,259
2019,M,59,307
2019,M,60,315
2019,M,61,353
2019,M,62,368
2019,M,63,361
2019,M,64,401
2019,M,65,418
2019,M,66,471
2019,M,67,473
2019,M,68,516
2019,M,69,515
2019,M,70,608
2019,M,71,666
2019,M,72,746
2019,M,73,797
2019,M,74,813
2019,M,75,839
2019,M,76,862
2019,M,77,900
2019,M,78,843
2019,M,79,964
2019,M,80,939
2019,M,81,987
2019,M,82,1088
2019,M,83,1184
2019,M,84,1200
2019,M,85,1192
2019,M,86,1243
2019,M,87,1226
2019,M,88,1201
2019,M,89,1124
2019,M,90,1015
2019,M,91,928
2019,M,92,809
2019,M,93,694
2019,M,94,521
2019,M,95,464
2019,M,96,370
2019,M,97,236
2019,M,98,184
2019,M,99,112
2019,M,100,55
2019,M,101,37
2019,M,102,20
2019,M,103,15
2019,M,104,5
2019,M,105,4
2019,M,106,3
2019,M,108,1
2020,F,0,136
2020,F,1,7
2020,F,2,5
2020,F,3,4
2020,F,4,5
2020,F,5,3
2020,F,6,3
2020,F,7,5
2020,F,9,2
2020,F,10,3
2020,F,11,2
2020,F,12,1
2020,F,13,5
2020,F,14,5
2020,F,15,4
2020,F,16,7
2020,F,17,5
2020,F,18,7
2020,F,19,6
2020,F,20,12
2020,F,21,6
2020,F,22,10
2020,F,23,7
2020,F,24,8
2020,F,25,10
2020,F,26,6
2020,F,27,6
2020,F,28,10
2020,F,29,12
2020,F,30,20
2020,F,31,12
2020,F,32,12
2020,F,33,7
2020,F,34,15
2020,F,35,20
2020,F,36,26
2020,F,37,26
2020,F,38,27
2020,F,39,29
2020,F,40,28
2020,F,41,23
2020,F,42,36
2020,F,43,35
2020,F,44,42
2020,F,45,44
2020,F,46,49
2020,F,47,61
2020,F,48,70
2020,F,49,75
2020,F,50,65
2020,F,51,78
2020,F,52,106
2020,F,53,125
2020,F,54,125
2020,F,55,140
2020,F,56,131
2020,F,57,147
2020,F,58,162
2020,F,59,168
2020,F,60,183
2020,F,61,203
2020,F,62,229
2020,F,63,212
2020,F,64,265
2020,F,65,248
2020,F,66,256
2020,F,67,314
2020,F,68,321
2020,F,69,368
2020,F,70,398
2020,F,71,484
2020,F,72,484
2020,F,73,527
2020,F,74,608
2020,F,75,676
2020,F,76,693
2020,F,77,732
2020,F,78,800
2020,F,79,794
2020,F,80,906
2020,F,81,978
2020,F,82,1063
2020,F,83,1175
2020,F,84,1384
2020,F,85,1568
2020,F,86,1637
2020,F,87,1761
2020,F,88,1743
2020,F,89,1920
2020,F,90,1923
2020,F,91,1949
2020,F,92,1754
2020,F,93,1606
2020,F,94,1353
2020,F,95,1280
2020,F,96,971
2020,F,97,803
2020,F,98,559
2020,F,99,466
2020,F,100,296
2020,F,101,147
2020,F,102,110
2020,F,103,61
2020,F,104,45
2020,F,105,25
2020,F,106,14
2020,F,107,8
2020,F,108,9
2020,F,112,1
2020,M,0,173
2020,M,1,9
2020,M,2,8
2020,M,3,6
2020,M,4,5
2020,M,5,2
2020,M,6,5
2020,M,7,3
2020,M,8,4
2020,M,9,3
2020,M,10,1
2020,M,11,2
2020,M,12,7
2020,M,13,7
2020,M,14,4
2020,M,15,11
2020,M,16,9
2020,M,17,14
2020,M,18,15
2020,M,19,21
2020,M,20,27
2020,M,21,22
2020,M,22,20
2020,M,23,23
2020,M,24,26
2020,M,25,27
2020,M,26,17
2020,M,27,29
2020,M,28,28
2020,M,29,30
2020,M,30,26
2020,M,31,21
2020,M,32,36
2020,M,33,33
2020,M,34,25
2020,M,35,29
2020,M,36,37
2020,M,37,49
2020,M,38,45
2020,M,39,41
2020,M,40,32
2020,M,41,44
2020,M,42,50
2020,M,43,60
2020,M,44,68
2020,M,45,79
2020,M,46,78
2020,M,47,90
2020,M,48,108
2020,M,49,115
2020,M,50,139
2020,M,51,164
2020,M,52,197
2020,M,53,180
2020,M,54,204
2020,M,55,241
2020,M,56,257
2020,M,57,274
2020,M,58,278
2020,M,59,305
2020,M,60,338
2020,M,61,351
2020,M,62,357
2020,M,63,420
2020,M,64,456
2020,M,65,439
2020,M,66,455
2020,M,67,536
2020,M,68,542
2020,M,69,578
2020,M,70,627
2020,M,71,701
2020,M,72,791
2020,M,73,830
2020,M,74,906
2020,M,75,931
2020,M,76,986
2020,M,77,1049
2020,M,78,1038
2020,M,79,1096
2020,M,80,1149
2020,M,81,1193
2020,M,82,1258
2020,M,83,1320
2020,M,84,1415
2020,M,85,1447
2020,M,86,1492
2020,M,87,1460
2020,M,88,1457
2020,M,89,1352
2020,M,90,1251
2020,M,91,1123
2020,M,92,998
2020,M,93,819
2020,M,94,732
2020,M,95,541
2020,M,96,413
2020,M,97,309
2020,M,98,220
2020,M,99,127
2020,M,100,95
2020,M,101,50
2020,M,102,28
2020,M,103,17
2020,M,104,2
2020,M,105,1
2020,M,106,3
