Provincias;Sexo;Edad;Periodo;Total
Total;Total;Menores de un año;2019;977
Total;Total;1 año;2019;93
Total;Total;2 años;2019;58
Total;Total;3 años;2019;47
Total;Total;4 años;2019;49
Total;Total;5 años;2019;28
Total;Total;6 años;2019;26
Total;Total;7 años;2019;30
Total;Total;8 años;2019;26
Total;Total;9 años;2019;35
Total;Total;10 años;2019;40
Total;Total;11 años;2019;42
Total;Total;12 años;2019;25
Total;Total;13 años;2019;53
Total;Total;14 años;2019;56
Total;Total;15 años;2019;52
Total;Total;16 años;2019;71
Total;Total;17 años;2019;77
Total;Total;18 años;2019;92
Total;Total;19 años;2019;102
Total;Total;20 años;2019;112
Total;Total;21 años;2019;109
Total;Total;22 años;2019;108
Total;Total;23 años;2019;125
Total;Total;24 años;2019;129
Total;Total;25 años;2019;153
Total;Total;26 años;2019;141
Total;Total;27 años;2019;159
Total;Total;28 años;2019;153
Total;Total;29 años;2019;164
Total;Total;30 años;2019;189
Total;Total;31 años;2019;213
Total;Total;32 años;2019;217
Total;Total;33 años;2019;207
Total;Total;34 años;2019;261
Total;Total;35 años;2019;281
Total;Total;36 años;2019;294
Total;Total;37 años;2019;364
Total;Total;38 años;2019;427
Total;Total;39 años;2019;495
Total;Total;40 años;2019;503
Total;Total;41 años;2019;567
Total;Total;42 años;2019;655
Total;Total;43 años;2019;735
Total;Total;44 años;2019;751
Total;Total;45 años;2019;892
Total;Total;46 años;2019;990
Total;Total;47 años;2019;1.175
Total;Total;48 años;2019;1.283
Total;Total;49 años;2019;1.453
Total;Total;50 años;2019;1.547
Total;Total;51 años;2019;1.813
Total;Total;52 años;2019;1.973
Total;Total;53 años;2019;2.136
Total;Total;54 años;2019;2.428
Total;Total;55 años;2019;2.550
Total;Total;56 años;2019;2.777
Total;Total;57 años;2019;2.866
Total;Total;58 años;2019;2.965
Total;Total;59 años;2019;3.323
Total;Total;60 años;2019;3.537
Total;Total;61 años;2019;3.802
Total;Total;62 años;2019;3.869
Total;Total;63 años;2019;3.936
Total;Total;64 años;2019;4.161
Total;Total;65 años;2019;4.304
Total;Total;66 años;2019;4.680
Total;Total;67 años;2019;4.860
Total;Total;68 años;2019;4.820
Total;Total;69 años;2019;5.252
Total;Total;70 años;2019;5.850
Total;Total;71 años;2019;6.538
Total;Total;72 años;2019;6.357
Total;Total;73 años;2019;7.125
Total;Total;74 años;2019;7.656
Total;Total;75 años;2019;8.111
Total;Total;76 años;2019;8.163
Total;Total;77 años;2019;7.536
Total;Total;78 años;2019;9.063
Total;Total;79 años;2019;9.305
Total;Total;80 años;2019;8.867
Total;Total;81 años;2019;10.979
Total;Total;82 años;2019;13.286
Total;Total;83 años;2019;14.800
Total;Total;84 años;2019;15.698
Total;Total;85 años;2019;17.103
Total;Total;86 años;2019;18.177
Total;Total;87 años;2019;18.356
Total;Total;88 años;2019;18.519
Total;Total;89 años;2019;17.933
Total;Total;90 años;2019;17.543
Total;Total;91 años;2019;15.960
Total;Total;92 años;2019;14.646
Total;Total;93 años;2019;12.902
Total;Total;94 años;2019;10.863
Total;Total;95 años;2019;9.176
Total;Total;96 años;2019;7.430
Total;Total;97 años;2019;5.813
Total;Total;98 años;2019;4.061
Total;Total;99 años;2019;2.840
Total;Total;100 y más años;2019;5.164
