Edad;Mes;Sexo;Total
0 años;Total;Total;451
1 año;Total;Total;42
2 años;Total;Total;21
3 años;Total;Total;23
4 años;Total;Total;12
5 años;Total;Total;14
6 años;Total;Total;13
7 años;Total;Total;16
8 años;Total;Total;17
9 años;Total;Total;12
10 años;Total;Total;10
11 años;Total;Total;21
12 años;Total;Total;14
13años;Total;Total;15
14 años;Total;Total;23
15 años;Total;Total;22
16 años;Total;Total;29
17 años;Total;Total;35
18 años;Total;Total;48
19 años;Total;Total;43
20 años;Total;Total;47
21 años;Total;Total;43
22 años;Total;Total;49
23 años;Total;Total;62
24 años;Total;Total;48
25 años;Total;Total;72
26 años;Total;Total;64
27 años;Total;Total;79
28 años;Total;Total;87
29 años;Total;Total;81
30 años;Total;Total;87
31 años;Total;Total;90
32 años;Total;Total;111
33 años;Total;Total;132
34 años;Total;Total;134
35 años;Total;Total;126
36 años;Total;Total;166
37 años;Total;Total;191
38 años;Total;Total;211
39 años;Total;Total;254
40 años;Total;Total;273
41 años;Total;Total;292
42 años;Total;Total;325
43 años;Total;Total;371
44 años;Total;Total;386
45 años;Total;Total;501
46 años;Total;Total;524
47 años;Total;Total;593
48 años;Total;Total;658
49 años;Total;Total;722
50 años;Total;Total;786
51 años;Total;Total;897
52 años;Total;Total;1.090
53 años;Total;Total;1.183
54 años;Total;Total;1.182
55 años;Total;Total;1.398
56 años;Total;Total;1.453
57 años;Total;Total;1.555
58 años;Total;Total;1.668
59 años;Total;Total;1.837
60 años;Total;Total;1.895
61 años;Total;Total;2.131
62 años;Total;Total;2.177
63 años;Total;Total;2.321
64 años;Total;Total;2.467
65 años;Total;Total;2.518
66 años;Total;Total;2.646
67 años;Total;Total;2.906
68 años;Total;Total;2.894
69 años;Total;Total;3.109
70 años;Total;Total;3.461
71 años;Total;Total;3.816
72 años;Total;Total;4.196
73 años;Total;Total;3.998
74 años;Total;Total;4.947
75 años;Total;Total;5.055
76 años;Total;Total;5.543
77 años;Total;Total;5.540
78 años;Total;Total;5.127
79 años;Total;Total;6.647
80 años;Total;Total;5.942
81 años;Total;Total;6.351
82 años;Total;Total;7.979
83 años;Total;Total;9.308
84 años;Total;Total;10.181
85 años;Total;Total;10.486
86 años;Total;Total;11.497
87 años;Total;Total;12.049
88 años;Total;Total;11.943
89 años;Total;Total;11.981
90 años;Total;Total;11.486
91 años;Total;Total;10.781
92 años;Total;Total;9.461
93 años;Total;Total;8.510
94 años;Total;Total;7.222
95 años;Total;Total;6.148
96 años;Total;Total;4.996
97 años;Total;Total;3.899
98 años;Total;Total;2.720
99 años;Total;Total;1.859
100 años;Total;Total;1.301
101 años;Total;Total;819
102 años;Total;Total;538
103 años;Total;Total;332
104 años;Total;Total;197
105 años;Total;Total;127
106 años;Total;Total;77
107 años;Total;Total;42
108 años;Total;Total;16
109 años;Total;Total;13
110 y más años;Total;Total;9
Total;Total;Total;262.373
